Use Case Name,lda_t0,lda_t1,lda_t2,lda_t3,lda_t4,lda_t5,lda_t6,lda_t7,lda_t8,lda_t9,lda_t10,lda_t11,lda_t12,lda_t13,lda_t14,lda_t15,lda_t16,lda_t17,lda_t18,lda_t19,lda_t20,lda_t21,lda_t22,lda_t23,lda_t24,lda_t25,lda_t26,lda_t27,lda_t28,lda_t29,lda_t30,lda_t31,lda_t32,lda_t33,lda_t34,lda_t35,lda_t36,lda_t37,lda_t38,lda_t39,lda_dom_t_0,lda_dom_t_1,lda_dom_t_2,lda_dom_t_3,lda_dom_t_4,lda_dom_t_5,lda_dom_t_6,lda_dom_t_7,lda_dom_t_8,lda_dom_t_9,lda_dom_t_10,lda_dom_t_11,lda_dom_t_12,lda_dom_t_13,lda_dom_t_14,lda_dom_t_15,lda_dom_t_16,lda_dom_t_17,lda_dom_t_18,lda_dom_t_19,lda_dom_t_20,lda_dom_t_21,lda_dom_t_22,lda_dom_t_23,lda_dom_t_24,lda_dom_t_25,lda_dom_t_26,lda_dom_t_27,lda_dom_t_28,lda_dom_t_29,lda_dom_t_30,lda_dom_t_31,lda_dom_t_32,lda_dom_t_33,lda_dom_t_34,lda_dom_t_35,lda_dom_t_36,lda_dom_t_37,lda_dom_t_38,lda_dom_t_39
Non-Intrusive Inspection (NII) 3D Imaging Tool,0.0008890865719877183,0.0009490450611338019,0.000746114703360945,0.0011080617550760508,0.0009755456121638417,0.25384658575057983,0.0008573457016609609,0.000790619698818773,0.0009595174342393875,0.0008859997033141553,0.0012368806637823582,0.0008652998367324471,0.0009021499427035451,0.0008139592246152461,0.0009120195754803717,0.001032035332173109,0.00086174625903368,0.0012409633491188288,0.0006666164263151586,0.0007449124241247773,0.0008129224879667163,0.0009065885678865016,0.0007253375370055437,0.001158052822574973,0.0009049451909959316,0.0007522268570028245,0.0009586613741703331,0.000755835382733494,0.0011231191456317902,0.0007907955441623926,0.0009297244832850993,0.21839354932308197,0.0008503802237100899,0.4248746633529663,0.0012379513354972005,0.0009926053462550044,0.06962176412343979,0.0009624497033655643,0.0011889154557138681,0.0007749874494038522,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Babel,0.0003460845327936113,0.0003694238548632711,0.05305734649300575,0.03749747946858406,0.0003797394165303558,0.29906198382377625,0.0003337291127536446,0.0003077554574701935,0.000373500311980024,0.0003448829229455441,0.00048146629706025124,0.0003368253237567842,0.0003511695540510118,0.00031684053828939795,0.0650315061211586,0.0004017285245936364,0.0003354420477990061,0.018322264775633812,0.0002594861143734306,0.09097311645746231,0.0003164369845762849,0.00035289733204990625,0.00028234379715286195,0.0004507819248829037,0.17579060792922974,0.00029281069873832166,0.036470625549554825,0.052052296698093414,0.06617572158575058,0.0003078238805755973,0.000361903163138777,0.0003400779387447983,0.00033101774170063436,0.01224812027066946,0.06455723196268082,0.0003863800666294992,0.0003452475066296756,0.01929139904677868,0.00046279546222649515,0.0003016704577021301,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fivecast ONYX,0.05373971164226532,0.09603576362133026,0.0002550417266320437,0.08574298769235611,0.00033346726559102535,0.22322295606136322,0.0002930634072981775,0.0002702547062654048,0.0003279884112998843,0.000302858097711578,0.0004227984754834324,0.00029578234534710646,0.000308378686895594,0.0002782327646855265,0.0003117523738183081,0.0003527769586071372,0.00029456763877533376,0.0004241940623614937,0.00022786710178479552,0.0002546307514421642,0.0002778783964458853,0.00030989592778496444,0.00024793954798951745,0.000395853043301031,0.000309334194753319,0.00025713100330904126,0.00032769577228464186,0.000258364510955289,0.043270330876111984,0.000270314805675298,0.00031780439894646406,0.48736369609832764,0.0002906824229285121,0.00034210277954116464,0.0004231644852552563,0.0003392987127881497,0.00030317826895043254,0.00032899071811698377,0.0004064027452841401,0.0002649111847858876,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Public Information Compilation for Travel  Threat Analysis (Dataminr),0.02627364918589592,0.05983357131481171,0.0004181403201073408,0.07911776006221771,0.0005467187729664147,0.18896818161010742,0.0004804767668247223,0.00044308198266662657,0.02079087495803833,0.0004965351545251906,0.000693177105858922,0.00048493448412045836,0.0005055861547589302,0.0004561619716696441,0.0005111172795295715,0.000578376988414675,0.00048294293810613453,0.0006954651325941086,0.0003735875943675637,0.0004174665082246065,0.00045558097190223634,0.0005080736591480672,0.00040649628499522805,0.04153794050216675,0.1190541684627533,0.0004215656954329461,0.0005372564774006605,0.0004235880041960627,0.10940495878458023,0.0004431804991327226,0.0005210395320318639,0.17167197167873383,0.00047657315735705197,0.0005608766805380583,0.1683155596256256,0.0005562794394791126,0.0004970600712113082,0.0005393795436248183,0.0006662963423877954,0.0004343212640378624,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anomaly Detection in Non-Intrusive Inspection,0.0010370396776124835,0.0011069758329540491,0.0008702758350409567,0.001292454544454813,0.0592646598815918,0.5359592437744141,0.0010000166948884726,0.0009221869404427707,0.001119190943427384,0.0010334390681236982,0.0014427101705223322,0.0010092946467921138,0.0010522769298404455,0.0009494103142060339,0.0010637888917699456,0.0012037765700370073,0.001005149562843144,0.0014474722556769848,0.0007775481790304184,0.08990337699651718,0.0009482011082582176,0.001057454152032733,0.0008460411336272955,0.0013507646508514881,0.0010555373737588525,0.0008774051093496382,0.0011181924492120743,0.14404022693634033,0.0013100176583975554,0.0009223920060321689,0.001084440154954791,0.0010190410539507866,0.0009918921859934926,0.049717746675014496,0.0014439590740948915,0.0011577849509194493,0.08418534696102142,0.0011226111091673374,0.001386763178743422,0.0009039532742463052,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Advanced Analytics for X-ray Images (AAXI),0.0003664545074570924,0.0003911675594281405,0.00030752585735172033,0.00045670944382436574,0.0004020902852062136,0.7892025113105774,0.0003533718700055033,0.0003258694487158209,0.0003954839485231787,0.0003651821753010154,0.0005098046385683119,0.000356650329194963,0.00037183883250690997,0.0003354892833158374,0.00037590679130516946,0.0004253736406099051,0.0003551856498233974,0.0005114874220453203,0.03723791614174843,0.00030703030643053353,0.0003350619808770716,0.00037366829928942025,0.00029896211344748735,0.0004773142281919718,0.0003729909367393702,0.0003100450849160552,0.0003951311227865517,0.0003115324070677161,0.000462915631942451,0.0003259419172536582,0.0003832041984423995,0.06824945658445358,0.0003505009226500988,0.00041250287904404104,0.03908155485987663,0.00040912177064456046,0.0003655682085081935,0.05292198061943054,0.00049003487220034,0.0003194262972101569,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Automated Data Annotation,0.0004370861279312521,0.00046656245831400156,0.00036679935874417424,0.12269241362810135,0.12825828790664673,0.00046619551721960306,0.00042148190550506115,0.09155189245939255,0.04390406981110573,0.00043556856689974666,0.0006080660386942327,0.00042539226706139743,0.09322237223386765,0.00040015255217440426,0.0004483602533582598,0.0005073615466244519,0.00042364528053440154,0.0006100731552578509,0.0003277169889770448,0.00036620828905142844,0.04898075759410858,0.00044569032615981996,0.0003565850493032485,0.0005693132989108562,0.0004448824329301715,0.019328536465764046,0.04834064841270447,0.000371578149497509,0.0005521394778043032,0.0003887650091201067,0.0004570642195176333,0.19715139269828796,0.0004180576070211828,0.0004920099745504558,0.1930001676082611,0.00048797723138704896,0.00043602901860140264,0.0004731523513328284,0.0005844857660122216,0.0003809935587923974,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
AI Enabled Autonomous Underwater Vehicle,0.00032802802161313593,0.018291769549250603,0.00027527863858267665,0.00040881879976950586,0.0003599270130507648,0.21509821712970734,0.0003163172223139554,0.00029169872868806124,0.00035401343484409153,0.0003268891014158726,0.0004563464317470789,0.023302452638745308,0.00033284773235209286,0.00030030979542061687,0.000336489116307348,0.0003807688772212714,0.00031794080859981477,0.047341205179691315,0.00024594776914454997,0.05272199213504791,0.00029992731288075447,0.025381693616509438,0.0002676128933671862,0.0004272629739716649,0.0003338790265843272,0.00027753369067795575,0.00035369760007597506,0.00027886504540219903,0.0004143741971347481,0.00029176357202231884,0.0003430213255342096,0.2003837674856186,0.044042281806468964,0.11611419916152954,0.24722976982593536,0.00036622118204832077,0.0003272346511948854,0.00035509528242982924,0.00043864973122254014,0.00028593119350261986,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Relocatable Multi-Sensor System,0.000361159531166777,0.00038551550824195147,0.07417882233858109,0.00045011035399511456,0.00039628040394745767,0.11203793436288834,0.0003482659230940044,0.00032116088550537825,0.00038976952782832086,0.00035990559263154864,0.11911889165639877,0.00035149703035131097,0.00036646606167778373,0.026090605184435844,0.0003704752307385206,0.0004192273481748998,0.00035005350946448743,0.0005040968535467982,0.00027078899438492954,0.0003025939513463527,0.0003302205877844244,0.015666460618376732,0.0002946423483081162,0.0004704174061771482,0.00036760151851922274,0.00030556516139768064,0.0003894217952620238,0.3353511393070221,0.00045622687321156263,0.00032123230630531907,0.00037766722380183637,0.1542821228504181,0.00034543644869700074,0.0004065425309818238,0.1050085797905922,0.0004032102879136801,0.046661242842674255,0.0003909606602974236,0.00048295428860001266,0.00031481083715334535,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
AI/LLM to generate testable synthetic data,0.00044494561734609306,0.00047495198668912053,0.08748196810483932,0.000554532278329134,0.0004882142529822886,0.0483994223177433,0.0004290608048904687,0.03174058347940445,0.00048019291716627777,0.00044340078602544963,0.0006189999985508621,0.00043304148130118847,0.00045148321078158915,0.000407347921282053,0.07048509269952774,0.0005164846661500633,0.0004312630626372993,0.0006210432038642466,0.0003336098452564329,0.00037279329262673855,0.07967723906040192,0.031601980328559875,0.0003629970015026629,0.08732724189758301,0.0004528821154963225,0.00037645382690243423,0.0004797644796781242,0.0508979931473732,0.0005620677839033306,0.0003957556327804923,0.0004652829375118017,0.10719280689954758,0.0004255749227013439,0.0005008571315556765,0.0006195358582772315,0.0004967518034391105,0.00044386950321495533,0.00048166036140173674,0.10571644455194473,0.2859143614768982,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
